# release: ITU-R-P.676-13
# generated by contrib/thz-ntn/tools/p676-lut-gen.py
# model: ITU-R P.676-13 Annex 1 line-by-line (44 O2 + 35 H2O lines)
# columns: freq_ghz, alt_km, attenuation_db_per_km
freq_ghz,alt_km,attenuation_db_per_km
100.000,0.00,0.453982
100.000,1.00,0.225833
100.000,2.00,0.222357
100.000,3.00,0.113432
100.000,4.00,0.059255
100.000,5.00,0.055445
100.000,6.00,0.030601
100.000,7.00,0.017370
100.000,8.00,0.010143
100.000,9.00,0.006089
100.000,10.00,0.005616
100.000,11.00,0.003852
100.000,12.00,0.002652
100.000,13.00,0.001830
100.000,14.00,0.001266
100.000,15.00,0.000876
100.000,16.00,0.000608
100.000,17.00,0.000422
100.000,18.00,0.000293
100.000,19.00,0.000203
100.000,20.00,0.000140
100.000,21.00,0.000097
100.000,22.00,0.000067
100.000,23.00,0.000046
100.000,24.00,0.000032
100.000,25.00,0.000022
100.000,26.00,0.000016
100.000,27.00,0.000011
100.000,28.00,0.000008
100.000,29.00,0.000005
100.000,30.00,0.000004
110.000,0.00,0.582253
110.000,1.00,0.295617
110.000,2.00,0.292795
110.000,3.00,0.153523
110.000,4.00,0.082891
110.000,5.00,0.081453
110.000,6.00,0.046994
110.000,7.00,0.027935
110.000,8.00,0.017075
110.000,9.00,0.010703
110.000,10.00,0.011994
110.000,11.00,0.008281
110.000,12.00,0.005728
110.000,13.00,0.003967
110.000,14.00,0.002751
110.000,15.00,0.001908
110.000,16.00,0.001325
110.000,17.00,0.000920
110.000,18.00,0.000639
110.000,19.00,0.000444
110.000,20.00,0.000296
110.000,21.00,0.000205
110.000,22.00,0.000142
110.000,23.00,0.000099
110.000,24.00,0.000069
110.000,25.00,0.000048
110.000,26.00,0.000033
110.000,27.00,0.000023
110.000,28.00,0.000016
110.000,29.00,0.000011
110.000,30.00,0.000008
120.000,0.00,1.504837
120.000,1.00,1.067917
120.000,2.00,1.130288
120.000,3.00,0.846190
120.000,4.00,0.642053
120.000,5.00,0.776009
120.000,6.00,0.598596
120.000,7.00,0.453818
120.000,8.00,0.337879
120.000,9.00,0.247489
120.000,10.00,0.371873
120.000,11.00,0.271072
120.000,12.00,0.195033
120.000,13.00,0.138962
120.000,14.00,0.098307
120.000,15.00,0.069188
120.000,16.00,0.048516
120.000,17.00,0.033932
120.000,18.00,0.023689
120.000,19.00,0.016516
120.000,20.00,0.010751
120.000,21.00,0.007486
120.000,22.00,0.005211
120.000,23.00,0.003625
120.000,24.00,0.002522
120.000,25.00,0.001754
120.000,26.00,0.001220
120.000,27.00,0.000849
120.000,28.00,0.000591
120.000,29.00,0.000411
120.000,30.00,0.000286
130.000,0.00,0.786458
130.000,1.00,0.388418
130.000,2.00,0.381236
130.000,3.00,0.192398
130.000,4.00,0.099087
130.000,5.00,0.090770
130.000,6.00,0.049055
130.000,7.00,0.027192
130.000,8.00,0.015480
130.000,9.00,0.009056
130.000,10.00,0.007632
130.000,11.00,0.005216
130.000,12.00,0.003581
130.000,13.00,0.002466
130.000,14.00,0.001703
130.000,15.00,0.001178
130.000,16.00,0.000816
130.000,17.00,0.000566
130.000,18.00,0.000392
130.000,19.00,0.000272
130.000,20.00,0.000183
130.000,21.00,0.000126
130.000,22.00,0.000087
130.000,23.00,0.000060
130.000,24.00,0.000042
130.000,25.00,0.000029
130.000,26.00,0.000020
130.000,27.00,0.000014
130.000,28.00,0.000010
130.000,29.00,0.000007
130.000,30.00,0.000005
140.000,0.00,0.915449
140.000,1.00,0.446388
140.000,2.00,0.435690
140.000,3.00,0.215641
140.000,4.00,0.108205
140.000,5.00,0.094653
140.000,6.00,0.048886
140.000,7.00,0.025656
140.000,8.00,0.013708
140.000,9.00,0.007472
140.000,10.00,0.003852
140.000,11.00,0.002567
140.000,12.00,0.001729
140.000,13.00,0.001174
140.000,14.00,0.000802
140.000,15.00,0.000550
140.000,16.00,0.000379
140.000,17.00,0.000261
140.000,18.00,0.000181
140.000,19.00,0.000125
140.000,20.00,0.000088
140.000,21.00,0.000060
140.000,22.00,0.000041
140.000,23.00,0.000028
140.000,24.00,0.000019
140.000,25.00,0.000013
140.000,26.00,0.000009
140.000,27.00,0.000006
140.000,28.00,0.000004
